algo,serie,taille,distance
,N1000_0,0,57613
,N1000_1,1,57041
,N1000_2,2,58226
,N1000_3,3,57033
,N1000_4,4,57325
,N10000_0,0,178076
,N10000_1,1,177374
,N10000_2,2,178063
,N10000_3,3,175849
,N10000_4,4,177387
,N100000_0,0,553994
,N100000_1,1,554720
,N100000_2,2,552755
,N100000_3,3,555383
,N100000_4,4,551535
,N5000_0,0,127391
,N5000_1,1,125760
,N5000_2,2,128658
,N5000_3,3,128037
,N5000_4,4,127674
,N50000_0,0,392411
,N50000_1,1,390243
,N50000_2,2,392680
,N50000_3,3,392470
,N50000_4,4,390847
